#================================================================================;;;;;;
#;;;;;;
#Produced by Organisation :    DTDYE;;;;;;
#Application Complete FIN:     1FP1SW1;;;;;;
#Equipment Configuration Name :;;;;;;
#Last Modification Date :      2008-02-21 13.44.28(ISO 8601 compliant);;;;;;
#Filename :                    M3412SP0504028ICD1_2008-02-21_13.44.27.csv;;;;;;
#ICD Format Version Number :   LOOD15151941-02.REV.2;;;;;;
#Tool Version :                V3.3.b;;;;;;
#Treatment Number [Check Sum] : A400M_TRT_010 in Work [0x446EA983];;;;;;
#Author :                      st18212;;;;;;
#;;;;;;
#================================================================================;;;;;;

#Begin;;;;;;
#EQUIPMENT;Equipment name;description;type;EMC Protection;Zone;FIN
EQUIPMENT;GADIRU_1;;LRU;;;
#End;;;;;;
#Begin;;;;;;
#CONNECTOR;Connector Type;Connector Name;Connector Pin;Connector Pin Role;Connection Name;Line Type
CONNECTOR;A600-II-11Q2-2Quadrax11power;BP;12;port2;GADIRU_AFDX_B;AFDX
CONNECTOR;A600-II-11Q2-2Quadrax11power;BP;13;port1;GADIRU_AFDX_A;AFDX
CONNECTOR;A600-02-150Way;MP;A-05;GND/Open;SDI_input_discrete_MSB;Discrete
CONNECTOR;A600-02-150Way;MP;A-06;GND/Open;SDI_input_discrete_LSB;Discrete
CONNECTOR;A600-02-150Way;MP;A-08;High;Radar_Altimeter_input_bus_1_A;A429
CONNECTOR;A600-02-150Way;MP;A-09;Low;Radar_Altimeter_input_bus_1_B;A429
CONNECTOR;A600-02-150Way;MP;A-13;High;Radar_Altimeter_input_bus_2_A;A429
CONNECTOR;A600-02-150Way;MP;A-14;Low;Radar_Altimeter_input_bus_2_B;A429
CONNECTOR;A600-02-150Way;MP;C-07;High;MMR_GPS_secondary_data_input_bus_A;A429
CONNECTOR;A600-02-150Way;MP;C-08;Low;MMR_GPS_secondary_data_input_bus_B;A429
CONNECTOR;A600-02-150Way;MP;D-14;High;MMR_GPS_primary_data_input_bus_A;A429
CONNECTOR;A600-02-150Way;MP;D-15;Low;MMR_GPS_primary_data_input_bus_B;A429
CONNECTOR;A600-02-150Way;MP;F-01;GND/Open;GADIRU_ON_OFF_input_discrete;Discrete
CONNECTOR;A600-02-150Way;MP;G-10;High;ADR_output_bus_8_A;A429
CONNECTOR;A600-02-150Way;MP;G-12;High;ADR_output_bus_7_A;A429
CONNECTOR;A600-02-150Way;MP;G-14;Low;ADR_output_bus_7_B;A429
CONNECTOR;A600-02-150Way;MP;J-07;Low;ADR_output_bus_8_B;A429
CONNECTOR;A600-02-150Way;MP;J-10;High;High_Lift_system_input_bus_2A;A429
CONNECTOR;A600-02-150Way;MP;J-11;Low;High_Lift_system_input_bus_2B;A429
CONNECTOR;A600-02-150Way;MP;K-04;High;High_Lift_system_input_bus_1A;A429
CONNECTOR;A600-02-150Way;MP;K-05;Low;High_Lift_system_input_bus_1B;A429
CONNECTOR;A600-02-150Way;TP;A-03;High;ADR_output_bus_1_A;A429
CONNECTOR;A600-02-150Way;TP;A-04;GND/Open;Aircraft_Identification_32_0;Discrete
CONNECTOR;A600-02-150Way;TP;A-05;High;ADR_output_bus_2_A;A429
CONNECTOR;A600-02-150Way;TP;A-07;High;ADR_output_bus_3_A;A429
CONNECTOR;A600-02-150Way;TP;A-09;High;ADR_output_bus_4_A;A429
CONNECTOR;A600-02-150Way;TP;B-03;Low;ADR_output_bus_1_B;A429
CONNECTOR;A600-02-150Way;TP;B-04;GND/Open;Aircraft_Identification_64_0;Discrete
CONNECTOR;A600-02-150Way;TP;B-05;Low;ADR_output_bus_2_B;A429
CONNECTOR;A600-02-150Way;TP;B-07;Low;ADR_output_bus_3_B;A429
CONNECTOR;A600-02-150Way;TP;B-09;Low;ADR_output_bus_4_B;A429
CONNECTOR;A600-02-150Way;TP;B-12;High;ADR_output_bus_5_A;A429
CONNECTOR;A600-02-150Way;TP;B-14;High;ADR_output_bus_6_A;A429
CONNECTOR;A600-02-150Way;TP;C-04;GND/Open;ADR_OFF_input_discrete_command;Discrete
CONNECTOR;A600-02-150Way;TP;D-03;GND/Open;VMO_MMO_4_input_discrete;Discrete
CONNECTOR;A600-02-150Way;TP;D-04;GND/Open;ADR_failure_warning_output_discrete;Discrete
CONNECTOR;A600-02-150Way;TP;D-06;High;SSA_input_bus_A;A429
CONNECTOR;A600-02-150Way;TP;D-08;High;Right_ISP_input_bus_A;A429
CONNECTOR;A600-02-150Way;TP;D-09;High;Left_ISP_input_bus_A;A429
CONNECTOR;A600-02-150Way;TP;D-10;High;MFP_input_bus_A;A429
CONNECTOR;A600-02-150Way;TP;D-12;Low;ADR_output_bus_5_B;A429
CONNECTOR;A600-02-150Way;TP;D-14;Low;ADR_output_bus_6_B;A429
CONNECTOR;A600-02-150Way;TP;E-01;GND/Open;Aircraft_Identification_1_0;Discrete
CONNECTOR;A600-02-150Way;TP;E-03;GND/Open;VMO_MMO_3_input_discrete;Discrete
CONNECTOR;A600-02-150Way;TP;E-04;GND/Open;GADIRU_GADIRU_ADR_OFF_LIGHT_LINE_1;Discrete
CONNECTOR;A600-02-150Way;TP;E-06;Low;SSA_input_bus_B;A429
CONNECTOR;A600-02-150Way;TP;E-08;Low;Right_ISP_input_bus_B;A429
CONNECTOR;A600-02-150Way;TP;E-09;Low;Left_ISP_input_bus_B;A429
CONNECTOR;A600-02-150Way;TP;E-10;Low;MFP_input_bus_B;A429
CONNECTOR;A600-02-150Way;TP;F-01;GND/Open;Aircraft_Identification_2_0;Discrete
CONNECTOR;A600-02-150Way;TP;F-02;GND/Open;Low_Speed_warning_1_output_discrete;Discrete
CONNECTOR;A600-02-150Way;TP;F-03;GND/Open;VMO_MMO_2_input_discrete;Discrete
CONNECTOR;A600-02-150Way;TP;F-06;GND/Open;Low_speed_warning_3_output_discrete;Discrete
CONNECTOR;A600-02-150Way;TP;F-13;High;Digital_Baro_correct_input_bus_2_A;A429
CONNECTOR;A600-02-150Way;TP;F-15;High;Digital_Baro_correct_input_bus_1_A;A429
CONNECTOR;A600-02-150Way;TP;G-01;GND/Open;Aircraft_Identification_4_0;Discrete
CONNECTOR;A600-02-150Way;TP;G-02;GND/Open;Low_Speed_warning_2_output_discrete;Discrete
CONNECTOR;A600-02-150Way;TP;G-03;GND/Open;VMO_MMO_1_input_discrete;Discrete
CONNECTOR;A600-02-150Way;TP;G-13;Low;Digital_Baro_correct_input_bus_2_B;A429
CONNECTOR;A600-02-150Way;TP;G-15;Low;Digital_Baro_correct_input_bus_1_B;A429
CONNECTOR;A600-02-150Way;TP;H-01;GND/Open;Aircraft_Identification_8_0;Discrete;;;;;;;;;;;;;;;;;;
CONNECTOR;A600-02-150Way;TP;H-05;GND/Open;Zero_Mach_SSEC_input_discrete;Discrete;;;;;;;;;;;;;;;;;;
CONNECTOR;A600-02-150Way;TP;H-08;High;Temperature_Probe_Analog_Input_H_OAT;Analog;;;;;;;;;;;;;;;;;;
CONNECTOR;A600-02-150Way;TP;H-13;GND/Open;Low_speed_warning_4_output_discrete;Discrete;;;;;;;;;;;;;;;;;;
CONNECTOR;A600-02-150Way;TP;J-01;GND/Open;Aircraft_Identification_16_0;Discrete;;;;;;;;;;;;;;;;;;
CONNECTOR;A600-02-150Way;TP;J-05;GND/Open;Zero_AOA_SSEC_input_discrete;Discrete;;;;;;;;;;;;;;;;;;
CONNECTOR;A600-02-150Way;TP;J-08;Low;Temperature_Probe_Analog_Input_L_OAT;Analog;;;;;;;;;;;;;;;;;;
CONNECTOR;A600-02-150Way;TP;K-01;GND/Open;Aircraft_Identification_Parity;Discrete;;;;;;;;;;;;;;;;;;
CONNECTOR;A600-02-150Way;TP;K-06;GND/Open;BITE_write_inhibit_input_discrete;Discrete;;;;;;;;;;;;;;;;;;
#End;;;;;;;;;;;;;;;;;;;;;;;;
#Begin;;;;;;;;;;;;;;;;;;;;;;;;
#AFDX_OUTPUT_VL;Physical Port Id;Physical Port Speed;Pin Name;AFDX Line EMC Protection;Network Id;Connector name;VL Identifier;VL name;Network Select;BAG;Max frame size;Number of sub VL;Sub VL Identifier;TX AFDX port Identifier;AFDX Port Master Name;AFDX Port type;port characteristic;IP frag allowed;AFDX port transmission type;Src IP address;Dest IP address;Src UDP address;Dest UDP address;Buffer Size
AFDX_OUTPUT_VL;port1;100;13;;A;BP;3950;VL_GADIRU_1_ADR;A&B;32;312;1;1;8720;GADIRS_PORT_OUT_MESSAGE_ADR;AFDX communication port;Sampling;;multicast;10.1.39.2;224.224.15.110;8720;8720;312
# Adding for the purpose of script 19
AFDX_OUTPUT_VL;port1;100;13;;A;BP;3950;VL_GADIRU_1_ADR;A&B;32;312;1;1;8720;GADIRS_PORT_OUT_MESSAGE_ADR;AFDX communication port;Sampling;;multicast;10.1.39.2;224.224.15.110;8721;8721;512
AFDX_OUTPUT_VL;port1;100;13;;A;BP;3952;VL_S_GADIRU_1_INSTRUM_1;A&B;16;192;1;1;10001;GADIRU_PORT_OUT_INSTRUM_1_MES_ADR;AFDX communication port;Sampling;;unicast;10.1.39.2;10.1.55.1;10001;10001;160
AFDX_OUTPUT_VL;port2;100;12;;B;BP;3950;VL_GADIRU_1_ADR;A&B;32;312;1;1;8720;GADIRS_PORT_OUT_MESSAGE_ADR;AFDX communication port;Sampling;;multicast;10.1.39.2;224.224.15.110;8720;8720;312
AFDX_OUTPUT_VL;port2;100;12;;B;BP;3952;VL_S_GADIRU_1_INSTRUM_1;A&B;16;192;1;1;10001;GADIRU_PORT_OUT_INSTRUM_1_MES_ADR;AFDX communication port;Sampling;;unicast;10.1.39.2;10.1.55.1;10001;10001;160
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4250;VL_GADIRU_1_CLOCK;A&B;128;256;1;1;9008;GADIRS_PORT_OUT_MESSAGE_CLOCK;AFDX communication port;Sampling;;multicast;10.1.39.5;224.224.16.154;9008;9008;256
AFDX_OUTPUT_VL;port1;100;13;;A;BP;3952;VL_S_GADIRU_1_INSTRUM_1;A&B;16;192;1;1;10002;GADIRU_PORT_OUT_INSTRUM_2_MES_TIME;AFDX communication port;Sampling;;unicast;10.1.39.5;10.1.55.1;10002;10002;160
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4250;VL_GADIRU_1_CLOCK;A&B;128;256;1;1;9008;GADIRS_PORT_OUT_MESSAGE_CLOCK;AFDX communication port;Sampling;;multicast;10.1.39.5;224.224.16.154;9008;9008;256
AFDX_OUTPUT_VL;port2;100;12;;B;BP;3952;VL_S_GADIRU_1_INSTRUM_1;A&B;16;192;1;1;10002;GADIRU_PORT_OUT_INSTRUM_2_MES_TIME;AFDX communication port;Sampling;;unicast;10.1.39.5;10.1.55.1;10002;10002;160
AFDX_OUTPUT_VL;port1;100;13;;A;BP;3951;VL_S_GADIRU_1_FWS;A&B;8;232;1;1;8876;GADIRS_PORT_OUT_MESSAGE_FWS_IR;AFDX communication port;Sampling;;multicast;10.1.39.3;224.224.15.111;8876;8876;168
AFDX_OUTPUT_VL;port1;100;13;;A;BP;3952;VL_S_GADIRU_1_INSTRUM_1;A&B;16;192;1;1;10006;GADIRU_PORT_OUT_INSTRUM_6_MES_IR;AFDX communication port;Sampling;;unicast;10.1.39.3;10.1.55.1;10006;10006;160
AFDX_OUTPUT_VL;port1;100;13;;A;BP;3952;VL_S_GADIRU_1_INSTRUM_1;A&B;16;192;1;1;10008;GADIRU_PORT_OUT_INSTRUM_8_MES_IR;AFDX communication port;Sampling;;unicast;10.1.39.3;10.1.55.1;10008;10008;160
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4151;VL_S_GADIRU_1_INSTRUM_2;A&B;32;984;1;1;10007;GADIRU_PORT_OUT_INSTRUM_7_MES_IR;AFDX communication port;Sampling;;unicast;10.1.39.3;10.1.55.1;10007;10007;984
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4051;VL_S_GADIRU_1_INSTRUM_3;A&B;8;296;1;1;10005;GADIRU_PORT_OUT_INSTRUM_5_MES_IR;AFDX communication port;Sampling;;unicast;10.1.39.3;10.1.55.1;10005;10005;296
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4050;VL_S_GADIRU_1_IR;A&B;16;600;1;1;8864;GADIRS_PORT_OUT_MESSAGE_IR;AFDX communication port;Sampling;;multicast;10.1.39.3;224.224.15.210;8864;8864;600
AFDX_OUTPUT_VL;port2;100;12;;B;BP;3951;VL_S_GADIRU_1_FWS;A&B;8;232;1;1;8876;GADIRS_PORT_OUT_MESSAGE_FWS_IR;AFDX communication port;Sampling;;multicast;10.1.39.3;224.224.15.111;8876;8876;168
AFDX_OUTPUT_VL;port2;100;12;;B;BP;3952;VL_S_GADIRU_1_INSTRUM_1;A&B;16;192;1;1;10006;GADIRU_PORT_OUT_INSTRUM_6_MES_IR;AFDX communication port;Sampling;;unicast;10.1.39.3;10.1.55.1;10006;10006;160
